"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0007346","GO:0007346","regulation of mitotic cell cycle","170/3911","429/12961",0.396270396270396,1.31323462185134,4.33720880509167,1.40213777949242e-05,0.00481494113477696,0.00481494113477696,"UBE2C/PLK3/PSMA4/LSM11/RPS6KB1/ASAH2/RAB11A/DGKZ/CCNE1/PSMB1/TFAP4/SMARCC1/ANAPC16/ZWILCH/CDK4/CDC25B/INTS3/PSMB2/ANGEL2/HES1/LGMN/PLK1/SPC24/TIMELESS/EGFR/EIF4G1/MIIP/DPF2/PDXP/PBRM1/TFDP1/TOM1L1/SMARCE1/PSMB6/PSMA3/CDK10/CCND1/ZNF268/ANAPC7/PAFAH1B1/PSMB4/XPC/CDC20/RDX/CCND2/PPP2CA/BRINP2/MUC1/RRM2/XRCC3/CDK5RAP3/BRD4/FBXW5/PSMA6/ATM/MKI67/AURKB/CCNB1/STK35/BRCC3/INCENP/TP73/BRD7/NABP2/ZW10/FOXM1/RPA2/ZFP36L1/IQGAP1/STIL/BCL7B/CCNH/NBN/MASTL/DYNLRB1/FZR1/APP/CUL9/CDC7/E2F1/PSME1/RAD50/ACTB/SPC25/DDB1/PSMB5/USP22/SMOC2/FHL1/RPS27L/ACTL6A/ANLN/PSMA7/TRIP13/RBBP8/CDC25A/CKS2/ERCC2/ADAMTS1/EME2/PSME3/PIM1/YWHAE/TEX14/RCC1/CDCA2/RRM1/PSMB7/ESPL1/KLF4/NEK7/HNRNPU/KNTC1/PDGFRB/SMARCA4/APPL1/USP44/PSMB3/FBXW7/SKP1/SMARCD1/BIRC5/ARID1B/AKT1/CDC27/DLG1/PKD1/ORC1/INO80/CTNNB1/SKA1/INHBA/ASNS/BCL6/SIRT1/RCC2/KANK2/PRMT5/EME1/CDCA8/TCF3/MAEA/DTL/CCND3/YTHDC2/SMARCB1/BRSK1/PTPN6/CDKN1A/BCL7A/TTLL12/CUL1/BCL7C/NDC80/BTG3/TICRR/HSF1/SLFN11/CCNE2/PRMT2/PKMYT1/TRIAP1/PRKCA/CDC6/CACNB4/PDIK1L/DBF4B/ZWINT/MDM2/SIRT2",170
"GO:0042176","GO:0042176","regulation of protein catabolic process","145/3911","358/12961",0.405027932960894,1.3422569775265,4.31696944823332,1.61426470718681e-05,0.00517350743175728,0.00517350743175728,"PCSK5/PLK3/MSN/PSMA4/CSNK1A1/PSMC1/BCAP31/ATRAID/HERPUD1/FHIT/DESI1/HSPA5/PSMB1/SGTA/CHMP6/RHBDF1/PSMB2/KEAP1/NSF/MGAT3/CTSC/ZER1/PLK1/CTSA/VGLL4/SORL1/EGFR/ATP13A2/PHB1/HSPBP1/LRP2/PSMD1/VPS35/BAG6/SNX12/HSP90AB1/CLU/PSMD2/SNRNP70/CREBRF/PSMB6/PSMA3/GLMN/NUPR1/ZNF268/XPO1/USP13/ATP5IF1/PSMB4/STUB1/CDC20/RDX/RGP1/SNX3/PSMC2/PDCL3/PSMD10/PAQR3/SIRT6/CDK5RAP3/PSMD3/RYBP/ODC1/PSMA6/OGT/SH3D19/PACSIN3/SNF8/CAV1/ADAM9/PRKACA/NQO1/GSK3A/ROCK1/USP14/TSPAN17/UBQLN4/FZR1/APP/XBP1/PSME1/USP5/ATXN3/ZNF418/PARK7/DDB1/PSMB5/DVL1/CCAR2/DCAF1/PSMA7/KAT2A/VCP/MTOR/MAP1A/ADRM1/GNA12/RAB7A/PSME3/CSNK2A1/EGLN2/ELOB/PSMB7/TIMP3/PSMC4/WDR91/EIF3H/EEF1A2/TMF1/LAMP3/PSMC5/SVIP/PSMB3/FBXW7/PSMD11/HSPA1A/AKT1/PKD1/RAD23B/PSMC3/SACK1D/ARAF/RNF41/MYLIP/TMX1/SIRT1/RNFT2/USP25/SF3B3/FURIN/DTL/CDH1/LRRK2/PPP2R3A/CSNK2B/QRICH2/GPX1/HSPA1B/UFL1/GBA1/TRIB3/PLK2/MDM2/L3MBTL3/SIRT2",145
"GO:0008380","GO:0008380","RNA splicing","174/3911","442/12961",0.393665158371041,1.30460089942395,4.28331106861542,1.74241332198753e-05,0.00517350743175728,0.00517350743175728,"PTBP1/RBM47/ALYREF/SRSF6/RTRAF/RBFOX2/RPS26/SNRNP25/PRPF8/SYNCRIP/SNRPD3/TAF5L/GEMIN7/COIL/DDX47/PRDX6/PPIL1/RBPMS2/CTNNBL1/C9orf78/RBM20/EFTUD2/ANGEL2/SRRM3/HNRNPM/ZBTB7A/MPHOSPH10/CWC15/FAM50A/SF1/SNRNP48/PUS1/RBM11/LUC7L3/RBM17/DAZAP1/THOC6/C1QBP/RRP1B/SF3A3/CIRSR/RBM19/KHDRBS1/RBM15B/SNRNP70/CLASRP/RBM38/CASC3/LSM2/SF3A1/PPP1R8/YBX1/RBM42/RBM23/ZMAT2/ILF3/YJU2/RBM22/SNRPB/TFIP11/HNRNPA1/CELF4/MBNL2/HNRNPL/PRPF6/PPP4R2/CIRBP/CLK1/HNRNPR/DHX16/ARVCF/RPUSD4/TAF6L/TADA2B/RBM3/DDX23/RRAGC/HNRNPUL1/ZNF326/HNRNPH2/DHX38/PQBP1/SNRNP200/KHSRP/PRPF39/H1-2/SNRPD2/PRPF19/CLNS1A/ZPR1/ACIN1/AHNAK/CELF2/AKAP17A/USP22/CCAR2/TADA3/PABPC1/KAT2A/RBM10/CWF19L1/SNRPC/RBM39/IVNS1ABP/ATXN7L3/GRSF1/PPARGC1A/SNU13/TSEN54/RNU2-1/CCNL1/MBNL3/THOC3/DDX1/HNRNPU/RBM15/LSM4/AAR2/TSEN34/FAM32A/HSPA1A/DDX5/PRPF3/TMBIM6/FASTK/CD2BP2/NCBP1/HNRNPA3/PRMT7/SFSWAP/NRDE2/SF3B4/ARGLU1/HNRNPUL2/RBM8A/THRAP3/SNRPG/CDK12/HSPA8/SF3B3/TRPT1/RALY/MBNL1/PRMT5/TRRAP/SCAF1/RBM24/FUS/WDR77/PRPF38A/NUP98/UBL5/SGF29/RNF113A/HTATSF1/RNPC3/ERN1/NONO/SRSF9/LUC7L2/PNN/PUF60/SNRPD1/USB1/ZCCHC8/U2AF2/HNRNPF/LSM7/SMU1/NCL/TSSC4/LSM3/PRMT1/LSM5",174
"GO:1903311","GO:1903311","regulation of mRNA metabolic process","125/3911","302/12961",0.413907284768212,1.37168302681687,4.29633977231716,1.85813305169895e-05,0.00517350743175728,0.00517350743175728,"PTBP1/RBM47/ALYREF/SRSF6/RBFOX2/TRAF5/PRPF8/SYNCRIP/SNRPD3/DHX34/SAMD4B/PRDX6/PNPT1/TUT7/RBPMS2/PDE12/RBM20/NYNRIN/EFTUD2/ANGEL2/TIRAP/LARP1B/ZBTB7A/CNOT3/ZC3H12A/IGF2BP1/RBM11/PUM2/DAZAP1/C1QBP/PAIP1/RBM19/KHDRBS1/RBM15B/TTC5/RBM38/CASC3/LSM2/ELAVL1/YBX1/CAPRIN1/RBM23/BTG2/ALKBH5/FXR2/SNRPB/HNRNPA1/CELF4/FASTKD5/HNRNPL/DDX6/KHNYN/CIRBP/CCNB1/CSDE1/ZFP36L1/ROCK1/SNRNP200/KHSRP/ZFP36/IGF2BP2/E2F1/CNOT7/H1-2/SNRPD2/CLNS1A/ACIN1/NT5C3B/CELF2/PABPC1/PIAS4/CNOT11/TOB1/APEX1/RBM39/HNRNPA0/CCNL1/HNRNPU/AHCYL1/RBM15/LSM4/PATL1/AAR2/TUT1/POLR2G/DDX5/AKT1/FASTK/XRN1/NCBP1/EDC4/SFSWAP/NRDE2/ARGLU1/RBM33/RBM8A/THRAP3/NANOS1/SNRPG/VIM/GDNF/CNOT9/SMG9/PRMT5/LARP1/MOV10/RBM24/FUS/SLIRP/WDR77/NUP98/LARP4B/SRSF9/PNN/PUF60/CSTF2/SNRPD1/CARHSP1/U2AF2/PRKCA/CSTF3/LSM7/SMU1/LSM3/LSM5",125
"GO:0035967","GO:0035967","cellular response to topologically incorrect protein","55/3911","112/12961",0.491071428571429,1.62740393395916,4.38372905023645,1.90830210062878e-05,0.00517350743175728,0.00517350743175728,"CTH/OPTN/ATF3/PIAS2/HERPUD1/PARP6/TMTC4/HSPA5/PTPN1/CREB3L1/BAX/YOD1/BAK1/HERPUD2/AKT2/CREBRF/STUB1/DAXX/DDIT3/RPAP2/CDK5RAP3/DNAJB12/PPP1R15B/CAV1/AKIRIN2/RHBDD2/XBP1/ATXN3/SERP1/RNF7/VCP/QRICH1/TM7SF3/EIF2AK3/TBL2/SHISA5/UFD1/TMEM33/KLHL15/MANF/HSPA1A/CREB3/PARP8/AKT1/TMBIM6/SIRT1/DERL1/BAG3/AATF/VAPB/PPP1R15A/ERN1/HSF1/UFL1/HSPB8",55
"GO:0000819","GO:0000819","sister chromatid segregation","100/3911","234/12961",0.427350427350427,1.41623341572204,4.2238060581085,2.72325155660259e-05,0.00677293722190724,0.00677293722190724,"KAT5/H3-3A/CHMP3/UBE2C/KIF4A/RANGRF/AKAP8/RAB11A/MAPK15/CHAMP1/KIF3B/SMARCC1/CHMP6/ZWILCH/PLK1/SPC24/KIF2C/DPF2/GOLGA2/PBRM1/RHOA/SPAG5/SKA2/SMARCE1/NUDC/CEP192/ANAPC7/CENPC/PSRC1/CDC20/NCAPH2/UHRF1/KIF22/STAG1/SMC1A/XRCC3/SMC3/ATM/TTN/AURKB/CCNB1/INCENP/KIF18B/BRD7/ZW10/ARHGEF10/BCL7B/KIFC1/DYNLRB1/KIF23/CHMP1A/ACTB/CENPI/SPC25/BCCIP/POLDIP2/ACTL6A/RAN/TRIP13/NSL1/NCAPH/TEX14/RCC1/PIBF1/KMT5A/ESPL1/MAPRE1/HNRNPU/KNTC1/SMARCA4/NCAPG2/USP44/LSM14A/SMARCD1/DRG1/BIRC5/HSPA1A/ARID1B/KATNB1/CDC27/INO80/KPNB1/SKA1/MAP9/TPX2/SIRT1/SEH1L/TACC3/CDCA8/SMARCB1/CHMP4B/BCL7A/RMI2/BCL7C/NDC80/HSPA1B/BAZ1B/CDC6/ZWINT/RRS1",100
"GO:0098813","GO:0098813","nuclear chromosome segregation","115/3911","276/12961",0.416666666666667,1.38082758032899,4.20397202860227,2.79144053414611e-05,0.00677293722190724,0.00677293722190724,"KAT5/H3-3A/CHMP3/UBE2C/KIF4A/RANGRF/ZCWPW1/AKAP8/RAB11A/MAPK15/CHAMP1/KIF3B/C9orf78/SMARCC1/CHMP6/ZWILCH/PLK1/SPC24/KIF2C/DPF2/CCNB1IP1/BAG6/GOLGA2/PBRM1/SYCP2/RHOA/SPAG5/SKA2/CENPQ/SMARCE1/DCAF13/NUDC/CEP192/ANAPC7/CENPC/PSRC1/CDC20/NCAPH2/UHRF1/KIF22/STAG1/SMC1A/XRCC3/SMC3/ATM/TTN/AURKB/CCNB1/INCENP/KIF18B/BRD7/ZW10/ARHGEF10/BCL7B/KIFC1/DYNLRB1/KIF23/CHMP1A/CDC42/ACTB/CENPI/SPC25/DDB1/BCCIP/POLDIP2/ACTL6A/RAN/TRIP13/GEM/NSL1/NCAPH/TEX14/RCC1/MSH5/PIBF1/KMT5A/ESPL1/MAPRE1/HNRNPU/KNTC1/SMARCA4/NCAPG2/USP44/LSM14A/SMARCD1/DRG1/BIRC5/HSPA1A/ARID1B/KATNB1/CDC27/INO80/KPNB1/SKA1/MAP9/SACK1D/TPX2/SIRT1/SEH1L/TACC3/RCC2/CDCA8/SMARCB1/CHMP4B/BCL7A/PMF1/RMI2/BCL7C/NDC80/HSPA1B/BAZ1B/CDC6/ZWINT/RRS1/SIRT2",115
"GO:0034620","GO:0034620","cellular response to unfolded protein","49/3911","98/12961",0.5,1.65699309639478,4.29165525546167,2.92582500509474e-05,0.00677293722190724,0.00677293722190724,"CTH/OPTN/ATF3/PIAS2/HERPUD1/PARP6/TMTC4/HSPA5/PTPN1/CREB3L1/BAX/YOD1/BAK1/HERPUD2/AKT2/CREBRF/STUB1/DAXX/DDIT3/RPAP2/CDK5RAP3/PPP1R15B/RHBDD2/XBP1/SERP1/RNF7/VCP/QRICH1/TM7SF3/EIF2AK3/TBL2/SHISA5/TMEM33/MANF/HSPA1A/CREB3/PARP8/AKT1/TMBIM6/SIRT1/DERL1/BAG3/AATF/VAPB/PPP1R15A/ERN1/HSF1/UFL1/HSPB8",49
"GO:1901990","GO:1901990","regulation of mitotic cell cycle phase transition","123/3911","299/12961",0.411371237458194,1.36327860104721,4.17778777927982,3.02421968751439e-05,0.00677293722190724,0.00677293722190724,"UBE2C/PLK3/PSMA4/LSM11/RAB11A/DGKZ/CCNE1/PSMB1/TFAP4/SMARCC1/ZWILCH/CDK4/CDC25B/INTS3/PSMB2/PLK1/SPC24/EGFR/EIF4G1/MIIP/DPF2/PBRM1/TFDP1/SMARCE1/PSMB6/PSMA3/CDK10/CCND1/ANAPC7/PSMB4/XPC/CDC20/RDX/CCND2/PPP2CA/MUC1/RRM2/XRCC3/CDK5RAP3/BRD4/PSMA6/ATM/AURKB/CCNB1/STK35/BRCC3/INCENP/BRD7/NABP2/ZW10/RPA2/ZFP36L1/STIL/BCL7B/CCNH/NBN/DYNLRB1/FZR1/CDC7/E2F1/PSME1/RAD50/ACTB/SPC25/DDB1/PSMB5/FHL1/RPS27L/ACTL6A/ANLN/PSMA7/TRIP13/RBBP8/CDC25A/ERCC2/ADAMTS1/PSME3/PIM1/TEX14/RRM1/PSMB7/ESPL1/KLF4/KNTC1/SMARCA4/APPL1/USP44/PSMB3/SMARCD1/BIRC5/ARID1B/AKT1/DLG1/PKD1/ORC1/INO80/SKA1/INHBA/RCC2/KANK2/CDCA8/TCF3/DTL/CCND3/SMARCB1/BRSK1/PTPN6/CDKN1A/BCL7A/BCL7C/NDC80/TICRR/SLFN11/CCNE2/PRMT2/PKMYT1/TRIAP1/CDC6/CACNB4/PDIK1L/DBF4B/ZWINT/SIRT2",123
"GO:0007059","GO:0007059","chromosome segregation","150/3911","377/12961",0.397877984084881,1.31856214567224,4.12645969310186,3.46921028397937e-05,0.00740239634459912,0.00740239634459912,"MTCL2/KAT5/H3-3A/CHMP3/UBE2C/KIF4A/CENPW/RANGRF/ZCWPW1/SAC3D1/RIOK3/AKAP8/HAUS3/CTCF/RAB11A/MAPK15/CHAMP1/KIF3B/C9orf78/SMARCC1/CHMP6/ZWILCH/CENPM/PLK1/SPC24/PPP2R2D/KIF2C/DPF2/CCDC86/CCNB1IP1/BAG6/GOLGA2/MAU2/PBRM1/PUM2/SYCP2/RHOA/SPAG5/SKA2/CENPQ/SMARCE1/DCAF13/NUDC/CEP192/ANAPC7/CENPN/CENPC/PSRC1/CDC20/NCAPH2/UHRF1/KIF22/STAG1/SMC1A/XRCC3/SMC3/ATM/MKI67/TTN/AURKB/CCNB1/INCENP/KIF18B/BRD7/ZW10/ARHGEF10/STIL/BCL7B/KIFC1/TLK1/DYNLRB1/KIF23/CHMP1A/CDC42/NCOR1/ACTB/CENPI/SPC25/DDB1/BCCIP/POLDIP2/ACTL6A/RAN/TRIP13/GEM/ERCC2/NSL1/CIAO1/CSNK2A1/NCAPH/TEX14/RCC1/MSH5/CDCA2/MAPRE2/CENPX/CENPP/PIBF1/HJURP/KMT5A/CCDC69/ESPL1/TOP1/NEK7/MAPRE1/HNRNPU/KNTC1/CENPS/SMARCA4/NCAPG2/USP44/RNF4/LSM14A/SMARCD1/DRG1/BIRC5/HSPA1A/ARID1B/KATNB1/CDC27/INO80/KPNB1/SKA1/MAP9/SACK1D/TPX2/BEX4/SIRT1/SEH1L/TACC3/RCC2/CDCA8/SMARCAD1/SMARCB1/CHMP4B/BCL7A/PMF1/RMI2/BCL7C/NDC80/CEP63/HSPA1B/FIRRM/BAZ1B/PPP2R1A/RGS14/CDC6/ZWINT/RRS1/SIRT2",150
"GO:1905897","GO:1905897","regulation of response to endoplasmic reticulum stress","44/3911","86/12961",0.511627906976744,1.69552781956676,4.25414444074801,3.59269867239328e-05,0.00740239634459912,0.00740239634459912,"BCAP31/HERPUD1/HSPA5/SGTA/PTPN1/CREB3L1/BAX/BAK1/BAG6/CLU/AKT2/CREBRF/NUPR1/USP13/STUB1/LPCAT3/DDIT3/PPP1R15B/CAV1/USP14/APP/XBP1/ATXN3/PARK7/PMAIP1/EIF2AK3/SHISA5/TMEM33/MANF/SVIP/HSPA1A/CREB3/AKT1/TMBIM6/TMX1/SIRT1/RNFT2/USP25/BCL2L1/OPA1/LRRK2/PPP1R15A/ERN1/UFL1",44
"GO:0006397","GO:0006397","mRNA processing","182/3911","472/12961",0.385593220338983,1.27785060823666,4.04241258673445,4.57052340058323e-05,0.00905491001400161,0.00905491001400162,"PTBP1/RBM47/ALYREF/SRSF6/RBFOX2/LSM11/SNRNP25/PRPF8/SYNCRIP/SNRPD3/GEMIN7/COIL/DDX47/SSU72/PRDX6/PNPT1/PPIL1/TENT2/RBPMS2/CMTR1/CTNNBL1/C9orf78/PDE12/RBM20/EFTUD2/ANGEL2/TRUB2/HNRNPM/ZBTB7A/CWC15/FAM50A/SF1/SNRNP48/PUS1/RBM11/LUC7L3/RBM17/TRMT61A/DAZAP1/THOC6/C1QBP/RRP1B/NSUN2/SF3A3/CIRSR/RBM19/KHDRBS1/RBM15B/SNRNP70/CLASRP/RBM38/PCIF1/CASC3/LSM2/SF3A1/PPP1R8/YBX1/RBM42/RBM23/ZMAT2/ILF3/YJU2/ALKBH5/RBM22/SNRPB/TFIP11/HNRNPA1/CELF4/XRN2/FASTKD5/MBNL2/HNRNPL/PRPF6/PPP4R2/CIRBP/HNRNPR/DHX16/ARVCF/RPUSD4/CCNB1/PRKACA/ZFP36L1/RBM3/DDX23/HNRNPUL1/ZNF326/DHX38/PQBP1/SNRNP200/KHSRP/PRPF39/RPRD1B/H1-2/SNRPD2/PRPF19/CLNS1A/ZPR1/ACIN1/CELF2/AKAP17A/CCAR2/RPUSD3/PABPC1/RBM10/CWF19L1/SNRPC/RBM39/HNRNPA0/IVNS1ABP/GRSF1/PPARGC1A/SNU13/TSEN54/RNU2-1/CCNL1/MBNL3/THOC3/DDX1/HNRNPU/AHCYL1/RBM15/LSM4/AAR2/TSEN34/TUT1/FAM32A/ADAR/DDX5/PRPF3/CPSF7/CD2BP2/NCBP1/HNRNPA3/PRMT7/PABPN1/SFSWAP/NRDE2/SF3B4/ARGLU1/HNRNPUL2/RBM8A/THRAP3/SNRPG/CDK12/TRUB1/HSPA8/CPSF2/SF3B3/RALY/MBNL1/PRMT5/SCAF1/RBM24/WDR77/NBDY/PRPF38A/NUP98/UBL5/CPSF6/RNF113A/HTATSF1/RNPC3/PAPOLG/ERN1/HSF1/NONO/SRSF9/LUC7L2/PNN/PUF60/CSTF2/SNRPD1/ZCCHC8/U2AF2/CSTF3/HNRNPF/LSM7/SMU1/NCL/TSSC4/LSM3/LSM5",182
"GO:1901987","GO:1901987","regulation of cell cycle phase transition","157/3911","403/12961",0.389578163771712,1.29105665575177,3.9020419836521,8.23480318926033e-05,0.0157101745288444,0.0157101745288444,"UBE2C/PLK3/PSMA4/LSM11/DOT1L/RAB11A/DGKZ/CCNE1/MAPK15/CDK18/TCIM/CDK5/MLF1/PSMB1/TFAP4/SMARCC1/ZWILCH/CDK4/CDC25B/INTS3/PSMB2/PLK1/SPC24/TIMELESS/EGFR/EIF4G1/MIIP/DPF2/INTS7/TMSB4X/PBRM1/TFDP1/H2AX/NSUN2/CUL4B/SMARCE1/PSMB6/PSMA3/CDK10/CCND1/ANAPC7/STK38/PSMB4/DNA2/XPC/CDC20/RDX/CCND2/PPP2CA/MUC1/RRM2/XRCC3/CDK5RAP3/RHNO1/BRD4/PSMA6/ATM/AURKB/CCNB1/STK35/BRCC3/INCENP/BRD7/NABP2/ZW10/RPA2/ZFP36L1/STIL/BCL7B/CCNH/NBN/DYNLRB1/FZR1/CDC7/E2F1/PSME1/PRPF19/PLCG2/RAD50/ACTB/SPC25/DDB1/PSMB5/FHL1/RPS27L/CCAR2/ACTL6A/ANLN/PSMA7/TRIP13/RBBP8/CDC25A/ERCC2/ADAMTS1/EME2/PSME3/PIM1/PAGR1/TEX14/RRM1/PSMB7/TBX2/ESPL1/KLF4/KNTC1/SMARCA4/APPL1/USP44/PSMB3/ATAD5/FBXW7/SKP1/SMARCD1/BIRC5/ARID1B/AKT1/USP28/DLG1/PKD1/ORC1/INO80/MACROH2A1/SKA1/INHBA/SACK1D/CDK16/RCC2/ATP2B4/KANK2/EME1/CDCA8/TCF3/DTL/CCND3/SMARCB1/BRSK1/PTPN6/CDKN1A/BCL7A/CUL1/BCL7C/NDC80/TICRR/CEP63/UFL1/SLFN11/CCNE2/TELO2/PRMT2/PKMYT1/TRIAP1/CDC6/CACNB4/PDIK1L/DBF4B/ZWINT/SIRT2",157
"GO:0034976","GO:0034976","response to endoplasmic reticulum stress","102/3911","246/12961",0.414634146341463,1.3740918360347,3.8941235011676,9.70075751147595e-05,0.0178459292648617,0.0178459292648617,"CTH/FAM8A1/ECPAS/FBXO17/BCAP31/ATF3/CLGN/PIAS2/HERPUD1/PARP6/TMTC4/HSPA5/SGTA/GET4/PTPN1/EIF4G1/CREB3L1/BAX/YOD1/BAK1/BAG6/HERPUD2/JUN/CLU/AKT2/CREBRF/NUPR1/USP13/STUB1/UBE4A/FOXRED2/LPCAT3/MARCKS/TNFRSF10B/MAN1A1/FIS1/DDIT3/UFC1/RPAP2/CDK5RAP3/DNAJB12/CHAC1/PPP1R15B/PDIA4/CAV1/TRIM13/RHBDD2/USP14/APP/XBP1/RNF121/TMUB1/ATXN3/PARK7/SERP1/FBXO44/RNF7/PMAIP1/VCP/QRICH1/SCAMP5/AIFM1/ATP2A2/EIF2AK3/RASGRF1/TBL2/TRIM25/SHISA5/UFD1/TMEM33/MANF/CREB3L2/SVIP/HSPA1A/CREB3/PARP8/AKT1/TMBIM6/TMCO1/NPLOC4/TMX1/SIRT1/DERL1/RNFT2/USP25/SESN2/BCL2L1/OPA1/CCDC47/UBE2G2/LRRK2/AATF/VAPB/FAF2/PPP1R15A/SGF29/ERLIN2/ERN1/CXCL8/UFL1/NOD1/TRIB3",102
"GO:0043161","GO:0043161","proteasome-mediated ubiquitin-dependent protein catabolic process","176/3911","461/12961",0.38177874186551,1.26520947924287,3.81159385489509,0.000112571408040317,0.019204648467872,0.019204648467872,"KAT5/PJA2/UBE2C/PLK3/FBXO17/NHLRC3/PSMA4/RIOK3/CSNK1A1/PSMC1/FEM1C/CCNF/HERC2/RAB40B/KDM2A/FHIT/PCBP2/DESI1/PSMB1/ANAPC16/KCTD17/PSMB2/KEAP1/ARMC5/ZER1/FBXO48/PLK1/BTRC/ARIH2/LZTR1/NEMF/HSPBP1/PSMD1/ASCC3/BAG6/FBXL19/PCNP/UBE2A/HSP90AB1/RNF216/CLU/PSMD2/CUL4B/KLHL25/KDM2B/KLHDC2/DCAF13/PSMB6/PSMA3/GLMN/XPO1/ANAPC7/PSMB4/STUB1/LMO7/CDC20/UCHL1/KCMF1/DCAF12/FBXO7/MARCHF8/PSMC2/YPEL5/DDIT3/UBE2N/PEX10/PSMD10/UBXN11/PAQR3/SIRT6/RBCK1/PSMD3/FBXW5/RYBP/KBTBD8/PSMA6/OGT/CUL2/WDR26/FBXO28/TRIM13/RNF187/AKIRIN2/DMAC2/GSK3A/USP14/FBXO25/FBXO33/TSPAN17/UBQLN4/FZR1/UBXN2B/KLHL3/USP5/ATXN3/ZNF418/PARK7/RNF122/DDB1/PSMB5/FBXO44/DVL1/ARRB2/CCAR2/DCAF1/PSMA7/RNF7/KAT2A/VCP/FBXW2/MTOR/KLHL21/MAP1A/ADRM1/GNA12/KLHL24/FBXW4/IVNS1ABP/CSNK2A1/TRIM28/ELOB/PSMB7/UFD1/PSMC4/EIF3H/KLHL15/PSMC5/KLHL28/RHOBTB3/USP44/FBXO36/RNF4/PSMB3/KLHDC3/FBXW7/SKP1/ASCC2/TRAF4/PSMD11/HSPA1A/UBE2G1/SKP2/AKT1/CDC27/KBTBD3/FBXO8/RAD23B/WWP2/CTNNB1/PSMC3/ARAF/NPLOC4/MYCBP2/SIRT1/DERL1/RNF10/KBTBD4/MAEA/DTL/LRRK2/FAF2/KLHL41/ZNF598/FBXL12/CSNK2B/KLHL2/CUL1/PSMB10/HSPA1B/UFL1/TBL1XR1/TRIB3/ENC1/MDM2/FEM1A/SIRT2",176
"GO:0010499","GO:0010499","proteasomal ubiquitin-independent protein catabolic process","14/3911","19/12961",0.736842105263158,2.4418845631081,4.13455443482838,0.000114907543415026,0.019204648467872,0.019204648467872,"PSME4/PSMA4/PSMB1/PSMB2/PSMB6/PSMA3/PSMB4/PSMA6/PSMB5/PSMA7/PSMB7/PSMB3/PSMB10/ENC1",14
"GO:0035966","GO:0035966","response to topologically incorrect protein","67/3911","150/12961",0.446666666666667,1.48024716611267,3.88902776647315,0.00011557835420385,0.019204648467872,0.019204648467872,"CTH/OPTN/ATF3/PIAS2/HERPUD1/HSPA2/PARP6/TMTC4/HSPA5/HSPA1L/HSPB1/PTPN1/CREB3L1/BAX/YOD1/BAK1/HERPUD2/SERPINH1/HSP90AB1/CLU/AKT2/CREBRF/STUB1/DAXX/DDIT3/RPAP2/CDK5RAP3/DNAJB12/CHAC1/PPP1R15B/CAV1/AKIRIN2/RHBDD2/XBP1/ATXN3/SERP1/DNAJB1/RNF7/VCP/QRICH1/TM7SF3/HSPA6/EIF2AK3/TBL2/SHISA5/UFD1/TMEM33/KLHL15/MANF/CREB3L2/HSPA1A/CREB3/PARP8/AKT1/TMBIM6/SIRT1/DERL1/HSPA8/BAG3/AATF/VAPB/FAF2/PPP1R15A/ERN1/HSF1/UFL1/HSPB8",67
